PRODUCTNDC,PRODUCTTYPENAME,PROPRIETARYNAME,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,MARKETINGCATEGORYNAME,LABELERNAME,SUBSTANCENAME,ACTIVEINGREDIENTSINFO,DEASCHEDULE,NDCPACKAGECODE,PACKAGEDESCRIPTION,REPORTINGPERIOD
70657-1013,HUMAN COMPOUNDED DRUG,Methylcobalamin,Methylcobalamin,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),MedisourceRx,METHYLCOBALAMIN,1 mg/1 mL,,70657-1013-3,"30 mL in 1 VIAL, MULTI-DOSE (70657-1013-3) ",2022-2
70657-1223,HUMAN COMPOUNDED DRUG,Methylcobalamin,Methylcobalamin,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),MedisourceRx,METHYLCOBALAMIN,5 mg/1 mL,,70657-1223-3,"30 mL in 1 VIAL, MULTI-DOSE (70657-1223-3) ",2024-1
71285-7023,HUMAN COMPOUNDED DRUG,Heparin 5000units added to NS,Heparin 5000units added to NS,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",HEPARIN SODIUM,5000 U/500 mL,,71285-7023-1,500 mL in 1 BAG (71285-7023-1) ,2022-2
69374-302,HUMAN COMPOUNDED DRUG,Phenylephrine vial 100mcg/mL,Phenylephrine vial 100mcg/mL,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Nephron Sterile Compounding Center, LLC",PHENYLEPHRINE HYDROCHLORIDE,100 ug/1 mL,,69374-302-10,"12 CARTON in 1 CASE (69374-302-10)  > 30 VIAL, PLASTIC in 1 CARTON > 10 mL in 1 VIAL, PLASTIC",2022-2
73177-123,HUMAN COMPOUNDED DRUG,Dexmedetomidine Hydrochloride,Dexmedetomidine Hydrochloride,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,DEXMEDETOMIDINE HYDROCHLORIDE,4 ug/1 mL,,73177-123-02,"5 mL in 1 SYRINGE, PLASTIC (73177-123-02) ",2023-1
73177-138,HUMAN COMPOUNDED DRUG,Oxytocin,Oxytocin,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,OXYTOCIN,20 U/1000 mL,,73177-138-29,1000 mL in 1 BAG (73177-138-29) ,2023-1
71449-068,HUMAN COMPOUNDED DRUG,Ketamine,Ketamine,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Denver Solutions, LLC dba Leiters Health",KETAMINE,10 mg/1 mL,CIII,71449-068-11,"5 mL in 1 SYRINGE, PLASTIC (71449-068-11) ",2023-2
71449-072,HUMAN COMPOUNDED DRUG,Fentanyl Citrate,Fentanyl Citrate,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Denver Solutions, LLC dba Leiters Health",FENTANYL CITRATE,10 ug/1 mL,CII,71449-072-82,1 BAG in 1 BAG (71449-072-82)  > 250 mL in 1 BAG,2023-2
73013-1041,HUMAN COMPOUNDED DRUG,Hydromorphone HCl,Hydromorphone HCl,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),OurPharma LLC,HYDROMORPHONE HYDROCHLORIDE,1 mg/1 mL,CII,73013-1041-1,100 mL in 1 BAG (73013-1041-1) ,2022-2
71285-6038,HUMAN COMPOUNDED DRUG,Oxytocin 20units added to LR,Oxytocin 20units added to LR,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",OXYTOCIN,20 [USP'U]/1000 mL,,71285-6038-1,1000 mL in 1 BAG (71285-6038-1) ,2023-1
71506-060,HUMAN COMPOUNDED DRUG,Epinephrine,Epinephrine,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fresenius Kabi Compounding LLC DBA Fagron Sterile Services,EPINEPHRINE,8 mg/250 mL,,71506-060-58,250 mL in 1 BAG (71506-060-58) ,2022-2
70004-833,HUMAN COMPOUNDED DRUG,Potassium Chloride 40 Meq added to 0.9 % Sodium Chloride,Potassium Chloride 40 Meq added to 0.9 % Sodium Chloride,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"SCA Pharmaceuticals, LLC",POTASSIUM CHLORIDE,40 meq,,70004-833-44,"1 INJECTION, SOLUTION in 1 BAG (70004-833-44) ",2022-2
72196-6065,HUMAN COMPOUNDED DRUG,Neostigmine 1mg/ml,Neostigmine 1mg/ml,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",NEOSTIGMINE METHYLSULFATE,1 mg/1 mL,,72196-6065-1,5 mL in 1 SYRINGE (72196-6065-1) ,2022-2
63037-123,HUMAN COMPOUNDED DRUG,Ephedrine Sulfate,Ephedrine Sulfate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hikma Injectables USA Inc.,EPHEDRINE SULFATE,50 mg/5 mL,,63037-123-25,"5 mL in 1 SYRINGE, PLASTIC (63037-123-25) ",2022-2
72196-0103,HUMAN COMPOUNDED DRUG,Maintenance 4 to1 Low K (20 mEq) 810ml Bag,Maintenance 4 to1 Low K (20 mEq) 810ml Bag,SOLUTION,INTRACORONARY,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.","TRISODIUM CITRATE DIHYDRATE; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE; ANHYDROUS DEXTROSE; SODIUM CHLORIDE; TROMETHAMINE; POTASSIUM CHLORIDE; DEXTROSE MONOHYDRATE; CITRIC ACID MONOHYDRATE",13.15 g/810 mL; 1.11 g/810 mL; 23.2 g/810 mL; 18.8 meq/810 mL; 7.2 g/810 mL; 20 meq/810 mL; 49.45 g/810 mL; 1.635 g/810 mL,,72196-0103-1,810 mL in 1 BAG (72196-0103-1) ,2023-2
73198-129,HUMAN COMPOUNDED DRUG,Amino-Blend,Amino Blend (Glut-30mg/Orni-50mg/Arg-100mg/Lys-50mg/Citr-50mg),"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Olympia Pharmacy,GLUTAMINE; ORNITHINE; LYSINE HYDROCHLORIDE; ARGININE; CITRULLINE,30 mg/1 mL; 50 mg/1 mL; 50 mg/1 mL; 100 mg/1 mL; 50 mg/1 mL,,73198-129-30,"30 mL in 1 VIAL, MULTI-DOSE (73198-129-30) ",2023-1
72934-6381,HUMAN COMPOUNDED DRUG,Kutar Emulsion,141040 HYDROQUINONE 8% / TRETINOIN 0.025%,EMULSION,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),SKNV,HYDROQUINONE; TRETINOIN,8 g/100 mL; .025 g/100 mL,,72934-6381-2,"30 mL in 1 BOTTLE, PUMP (72934-6381-2) ",2024-1
73198-023,HUMAN COMPOUNDED DRUG,Trimix Formula SB4,Papaverine-30mg/Phentolamine-3mg/Alprostadil 40mcg/ML,"INJECTION, SOLUTION",INTRACAVERNOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Olympia Pharmacy,PHENTOLAMINE MESYLATE; ALPROSTADIL; PAPAVERINE HYDROCHLORIDE,3 mg/1 mL; .04 mg/1 mL; 30 mg/1 mL,,73198-023-05,"5 mL in 1 VIAL, MULTI-DOSE (73198-023-05) ",2022-2
73198-139,HUMAN COMPOUNDED DRUG,PGE 1,Alprostadil 40mcg/ML,"INJECTION, SOLUTION",INTRACAVERNOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Olympia Pharmacy,ALPROSTADIL,.04 mg/1 mL,,73198-139-03,"2.5 mL in 1 VIAL, MULTI-DOSE (73198-139-03) ",2022-2
73198-015,HUMAN COMPOUNDED DRUG,Trimix Formula RE1,Papaverine-30mg/Phentolamine-3mg/Alprostadil 200mcg/ML,"INJECTION, SOLUTION",INTRACAVERNOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Olympia Pharmacy,PAPAVERINE HYDROCHLORIDE; PHENTOLAMINE MESYLATE; ALPROSTADIL,30 mg/1 mL; 3 mg/1 mL; .2 mg/1 mL,,73198-015-10,"10 mL in 1 VIAL, MULTI-DOSE (73198-015-10) ",2023-1
70092-444,HUMAN COMPOUNDED DRUG,Fentanyl PF 5 mcg/ml in 250 ml NS bag,Fentanyl PF 5 mcg/ml in 250 ml NS bag,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",FENTANYL CITRATE,1250 ug/250 mL,CII,70092-444-05,250 mL in 1 BAG (70092-444-05) ,2024-1
73702-106,HUMAN COMPOUNDED DRUG,Ephedrine Slfate,Ephedrine Sulfate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,EPHEDRINE SULFATE,5 mg/1 mL,,73702-106-15,5 mL in 1 SYRINGE (73702-106-15) ,2023-2
72196-6065,HUMAN COMPOUNDED DRUG,Neostigmine 1mg/ml,Neostigmine 1mg/ml,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",NEOSTIGMINE METHYLSULFATE,1 mg/1 mL,,72196-6065-1,5 mL in 1 SYRINGE (72196-6065-1) ,2023-2
73177-156,HUMAN COMPOUNDED DRUG,Ketamine Hydrochloride,Ketamine Hydrochloride,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,KETAMINE HYDROCHLORIDE,10 mg/1 mL,CIII,73177-156-27,100 mL in 1 BAG (73177-156-27) ,2023-2
71266-9010,HUMAN COMPOUNDED DRUG,Phenylephrine HCl,Phenylephrine HCl,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,PHENYLEPHRINE HYDROCHLORIDE,.1 mg/1 mL,,71266-9010-9,"10 mL in 1 SYRINGE, PLASTIC (71266-9010-9) ",2023-2
71266-9081,HUMAN COMPOUNDED DRUG,Ketamine,Ketamine,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,KETAMINE HYDROCHLORIDE,10 mg/1 mL,CIII,71266-9081-1,100 mL in 1 BAG (71266-9081-1) ,2023-2
72196-0405,HUMAN COMPOUNDED DRUG,Trophamine 3% / Dextrose 10% With Calcium Gluconate 3.75 mEq 250ml in 250ml bag,Trophamine 3% / Dextrose 10% With Calcium Gluconate 3.75 mEq 250ml in 250ml bag,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",GLUTAMIC ACID; LYSINE ACETATE; SERINE; TYROSINE; N-ACETYLTYROSINE; THREONINE; CYSTEINE HYDROCHLORIDE; HISTIDINE; ARGININE; TAURINE; DEXTROSE MONOHYDRATE; LEUCINE; METHIONINE; PROLINE; ASPARTIC ACID; ISOLEUCINE; ALANINE; GLYCINE; PHENYLALANINE; TRYPTOPHAN; VALINE; CALCIUM GLUCONATE MONOHYDRATE,.375 g/250 mL; .9 g/250 mL; .285 g/250 mL; .033 g/250 mL; .18 g/250 mL; .315 g/250 mL; .018 g/250 mL; .36 g/250 mL; .9 g/250 mL; .01875 g/250 mL; 25 g/250 mL; 1.05 g/250 mL; .255 g/250 mL; .51 g/250 mL; .24 g/250 mL; .615 g/250 mL; .405 g/250 mL; .27 g/250 mL; .36 g/250 mL; .15 g/250 mL; .585 g/250 mL; 3.75 meq/250 mL,,72196-0405-1,250 mL in 1 BAG (72196-0405-1) ,2023-2
71449-018,HUMAN COMPOUNDED DRUG,Hydromorphone,Hydromorphone,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Denver Solutions, LLC dba Leiters Health",HYDROMORPHONE,1 mg/1 mL,CII,71449-018-32,"30 mL in 1 SYRINGE, PLASTIC (71449-018-32) ",2023-2
72934-9410,HUMAN COMPOUNDED DRUG,Diyqapdrox Liquid,221025 CANTHARIDIN 1% / PODOPHYLLUM RESIN 5% / SALICYLIC ACID 30%,LIQUID,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),SKNV,CANTHARIDIN; PODOPHYLLUM RESIN; SALICYLIC ACID,1 g/100 mL; 5 g/100 mL; 30 g/100 mL,,72934-9410-1,"7.5 mL in 1 BOTTLE, GLASS (72934-9410-1) ",2023-2
72934-6377,HUMAN COMPOUNDED DRUG,Kevarya Emulsion,141024 HYDROCORTISONE 0.5% / HYDROQUINONE 6% / TRETINOIN 0.05%,EMULSION,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),SKNV,HYDROCORTISONE; HYDROQUINONE; TRETINOIN,.5 g/100 mL; 6 g/100 mL; .05 g/100 mL,,72934-6377-2,"30 mL in 1 BOTTLE, PUMP (72934-6377-2) ",2024-1
72934-1304,HUMAN COMPOUNDED DRUG,Varoxia Gel,011020 NIACINAMIDE 4% / TRETINOIN 0.05%,GEL,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),SKNV,NIACINAMIDE; TRETINOIN,4 g/100 mL; .05 g/100 mL,,72934-1304-2,"30 mL in 1 BOTTLE, PUMP (72934-1304-2) ",2024-1
71266-5025,HUMAN COMPOUNDED DRUG,Norepinephrine Bitartrate,Norepinephrine Bitartrate,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,NOREPINEPHRINE BITARTRATE,64 ug/1 mL,,71266-5025-2,250 mL in 1 BAG (71266-5025-2) ,2024-1
71170-925,HUMAN COMPOUNDED DRUG,Midazolam 1mg/mL (100mg) 100mL IV Bag,Midazolam 1mg/mL (100mg) 100mL IV Bag,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Apollo Care, LLC",MIDAZOLAM,1 mg/1 mL,CIV,71170-925-01,100 mL in 1 BAG (71170-925-01) ,2022-2
72055-012,HUMAN COMPOUNDED DRUG,Iohexol,iohexol,"INJECTION, SOLUTION",INTRAVENOUS; ORAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Baycare Integrated Service Center, LLC /dba BayCare Central Pharmacy",IOHEXOL,300 mg/1 mL,,72055-012-07,"8 mL in 1 SYRINGE, PLASTIC (72055-012-07) ",2022-2
81375-202,HUMAN COMPOUNDED DRUG,Tropicamide/Phenylephrine Sterile Ophthalmic Solution,Tropicamide1.0%/Phenylephrine2.5%,SOLUTION/ DROPS,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),PQ Pharmacy LLC,TROPICAMIDE; PHENYLEPHRINE HYDROCHLORIDE,10 mg/1 mL; 25 mg/1 mL,,81375-202-05,"5 mL in 1 BOTTLE, DROPPER (81375-202-05) ",2023-1
81375-200,HUMAN COMPOUNDED DRUG,Prednisolone/Moxifloxacin,Prednisolone 1%/Moxifloxacin 0.5%,SOLUTION/ DROPS,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),PQ Pharmacy LLC,PREDNISOLONE SODIUM PHOSPHATE; MOXIFLOXACIN HYDROCHLORIDE,10 mg/1 mL; 5 mg/1 mL,,81375-200-05,"5.6 mL in 1 BOTTLE, DROPPER (81375-200-05) ",2023-2
26436-1963,HUMAN COMPOUNDED DRUG,Thiamine B1 100mg/mL,Thiamine B1 100mg/mL,INJECTION,INTRAMUSCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,THIAMINE HYDROCHLORIDE,100 mg/1 mL,,26436-1963-3,"30 mL in 1 VIAL, GLASS (26436-1963-3) ",2023-2
73198-049,HUMAN COMPOUNDED DRUG,Glutathione 200MG/ML,Glutathione 200MG/ML,"INJECTION, SOLUTION",INTRAMUSCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Olympia Pharmacy,GLUTATHIONE,200 mg/1 mL,,73198-049-30,"30 mL in 1 VIAL, MULTI-DOSE (73198-049-30) ",2022-2
26436-5007,HUMAN COMPOUNDED DRUG,Panthenol 250mg/mL,Panthenol 250mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Hybrid Pharma,PANTHENOL,250 mg/1 mL,,26436-5007-3,"30 mL in 1 VIAL, MULTI-DOSE (26436-5007-3) ",2024-1
83826-9057,HUMAN COMPOUNDED DRUG,"Tropicamide, Phenylephrine HCl","Tropicamide 1%, Phenylephrine HCl 2.5%",SOLUTION,OPHTHALMIC; TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"OSRX, Inc.",PHENYLEPHRINE HYDROCHLORIDE; TROPICAMIDE,25 mg/1 mL; 10 mg/1 mL,,83826-9057-2,"2 mL in 1 BOTTLE, DROPPER (83826-9057-2) ",2024-1
72934-2299,HUMAN COMPOUNDED DRUG,Oxiavar Cream,011009 NIACINAMIDE 4% / TRETINOIN 0.05%,CREAM,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),SKNV,NIACINAMIDE; TRETINOIN,4 g/100 mL; .05 g/100 mL,,72934-2299-4,"120 mL in 1 BOTTLE, PUMP (72934-2299-4) ",2023-2
70092-105,HUMAN COMPOUNDED DRUG,Fent 2 mcg/ml-Bup 0.125% PF 250ml NS IVB,Fent 2 mcg/ml-Bup 0.125% PF 250ml NS IVB,INJECTION,EPIDURAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",FENTANYL CITRATE; BUPIVACAINE HYDROCHLORIDE,500 ug/250 mL; 31.25 mg/250 mL,CII,70092-105-37,250 mL in 1 BAG (70092-105-37) ,2023-2
71286-2010,HUMAN COMPOUNDED DRUG,Hydromorphone HCL 0.2mg/ml in NS,Hydromorphone HCL 0.2mg/ml in NS,SOLUTION,EPIDURAL; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",HYDROMORPHONE HYDROCHLORIDE,.2 mg/1 mL,CII,71286-2010-3,50 mL in 1 BAG (71286-2010-3) ,2022-2
70004-231,HUMAN COMPOUNDED DRUG,Fentanyl 2 mcg/mL and Bupivacaine 0.125% PF in 0.9% Sodium Chloride,Fentanyl 2 mcg/mL and Bupivacaine 0.125% PF in 0.9% Sodium Chloride,"INJECTION, SOLUTION",EPIDURAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"SCA Pharmaceuticals, LLC",FENTANYL CITRATE; BUPIVACAINE HYDROCHLORIDE,.002 mg/1 mL; 1.25 mg/1 mL,CII,70004-231-64,100 mL in 1 BAG (70004-231-64) ,2023-1
71266-1025,HUMAN COMPOUNDED DRUG,Betamethasone Sodium Phosphate,Betamethasone Sodium Phosphate,INJECTION,EPIDURAL; INTRA-ARTICULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,BETAMETHASONE SODIUM PHOSPHATE,6 mg/1 mL,,71266-1025-2,2 mL in 1 VIAL (71266-1025-2) ,2022-2
70092-207,HUMAN COMPOUNDED DRUG,Fent2mcg/ml-Ropiv0.1%PF 200ml NS- 250IVB,Fent2mcg/ml-Ropiv0.1%PF 200ml NS- 250IVB,INJECTION,EPIDURAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"QuVa Pharma, Inc.",ROPIVACAINE HYDROCHLORIDE; FENTANYL CITRATE,400 mg/200 mL; 400 ug/200 mL,CII,70092-207-37,200 mL in 1 CARTRIDGE (70092-207-37) ,2023-2
70168-0101,HUMAN COMPOUNDED DRUG,Testo100mgCHOL,Testosterone,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",TESTOSTERONE,100 mg,CIII,70168-0101-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-0101-1) ",2022-2
71300-6631,HUMAN COMPOUNDED DRUG,Dexamethasone sodium phosphate,Dexamethasone sodium phosphate,SOLUTION,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Nubratori, Inc",DEXAMETHASONE SODIUM PHOSPHATE,4 mg/1 mL,,71300-6631-1,1 BOTTLE in 1 BOX (71300-6631-1)  > 5 mL in 1 BOTTLE,2022-2
71506-074,HUMAN COMPOUNDED DRUG,Ketamine Hydrochloride,Ketamine Hydrochloride,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fresenius Kabi Compounding LLC DBA Fagron Sterile Services,KETAMINE HYDROCHLORIDE,50 mg/5 mL,CIII,71506-074-05,5 mL in 1 SYRINGE (71506-074-05) ,2022-2
73013-1001,HUMAN COMPOUNDED DRUG,Fentanyl Citrate,Fentanyl Citrate 50mcg/mL in 50mL Cassette,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),OurPharma LLC,FENTANYL CITRATE,50 ug/1 mL,CII,73013-1001-1,50 mL in 1 BAG (73013-1001-1) ,2022-2
72196-6076,HUMAN COMPOUNDED DRUG,Vancomycin 1.5gm added to NS,Vancomycin 1.5gm added to NS,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",VANCOMYCIN HYDROCHLORIDE,1.5 g/250 mL,,72196-6076-1,250 mL in 1 BAG (72196-6076-1) ,2022-2
72196-6009,HUMAN COMPOUNDED DRUG,Phenylephrine 100mcg/ml in NS,Phenylephrine 100mcg/ml in NS,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",PHENYLEPHRINE HYDROCHLORIDE,100 ug/1 mL,,72196-6009-1,10 mL in 1 SYRINGE (72196-6009-1) ,2022-2
73702-120,HUMAN COMPOUNDED DRUG,Oxytocin,Oxytocin,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,OXYTOCIN,30 mg/500 mL,,73702-120-05,500 mL in 1 BAG (73702-120-05) ,2022-2
73702-202,HUMAN COMPOUNDED DRUG,Fentanyl Citrate,Fentanyl Citrate,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,FENTANYL,10 ug/1 mL,CII,73702-202-02,100 mL in 1 BAG (73702-202-02) ,2023-1
71300-6638,HUMAN COMPOUNDED DRUG,Baclofen,Baclofen,CREAM,TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Nubratori, Inc",BACLOFEN,50 mg/1 g,,71300-6638-2,1 CONTAINER in 1 BOX (71300-6638-2)  > 30 g in 1 CONTAINER,2023-1
